,Name,metascore,userscore
498,Among the Sleep,64.66666666666667,6.1000000000000005
499,Amped 2,80.0,7.7
500,Amped 3,72.0,7.3
501,Amped: Freestyle Snowboarding,78.0,8.0
502,Amplitude,80.0,7.666666666666667
503,AnaCapri: The Dream,39.0,4.2
504,Anachronox,77.0,8.0
505,Analogue: A Hate Story,62.0,7.7
506,Anamorphine,58.0,4.4
507,Anarchy Online,72.0,7.3
508,Anarchy Online: Alien Invasion,73.0,6.9
509,Anarchy Online: Shadowlands,85.0,8.4
510,Anarchy Online: The Notum Wars,71.0,8.1
511,Anarchy Reigns,72.0,8.05
512,Anarchy: Rush Hour,59.0,4.6
513,Anarcute,76.5,7.4
514,Ancestors Legacy,74.33333333333333,7.166666666666667
515,Ancestors: The Humankind Odyssey,68.66666666666667,5.733333333333333
516,Ancient Amuletor,60.0,6.6
517,Ancient Enemy,73.0,6.3
518,Ancient Space,68.0,7.6
519,Ancient Wars: Sparta,59.0,6.9
520,Ancients of Ooga,69.0,5.5
521,And 1 Streetball,48.5,8.05
522,And Yet It Moves,79.0,6.95
523,Angels with Scaly Wings,67.0,8.5
524,Angry Birds,77.0,5.35
525,Angry Birds Star Wars,52.0,4.466666666666667
526,Angry Birds Trilogy,63.666666666666664,5.2
527,Angry Birds VR: Isle of Pigs,79.0,5.3
528,Angry Bunnies: Colossal Carrot Crusade,33.0,5.3
529,Angry Video Game Nerd Adventures,77.5,7.7
530,AniMates,33.0,2.8
531,Anima: Gate of Memories,64.33333333333333,7.5
532,Anima: Gate of Memories - The Nameless Chronicles,71.0,7.066666666666666
533,Animal Crossing,87.0,8.8
534,Animal Crossing: City Folk,73.0,7.9
535,Animal Crossing: Happy Home Designer,66.0,6.9
536,Animal Crossing: New Leaf,88.0,8.7
537,Animal Crossing: Wild World,86.0,8.5
538,Animal Crossing: amiibo Festival,46.0,4.0
539,Animal Force,57.0,5.0
540,Animal Paradise,49.0,7.5
541,Anito: Defend a Land Enraged,63.0,7.5
542,Anna,55.0,4.9
543,Anna's Quest,74.0,7.0
544,Anna: Extended Edition,75.0,3.8000000000000003
545,Anno 1701: Dawn of Discovery,78.0,7.6
546,Anno 1800,81.0,8.0
547,Anno 2070,83.0,7.1
548,Anno 2205,72.0,6.1
549,Anodyne,72.5,6.8
550,Anodyne 2: Return to Dust,71.0,7.7
551,Anomaly 1729,49.0,7.3
552,Anomaly 2,75.5,7.300000000000001
553,Anomaly Defenders,70.0,6.5
554,Anomaly: Warzone Earth,79.0,6.8
555,Another Lost Phone: Laura's Story,71.0,7.0
556,Another Sight (2018),67.0,7.3
557,Another World: 20th Anniversary Edition,63.666666666666664,6.428571428571429
558,Anoxemia,60.5,4.8
559,Anthem,59.333333333333336,3.8333333333333335
560,Antichamber,82.0,8.3
561,Antigraviator,67.5,5.333333333333333
562,Antihero,81.0,7.0
563,Antz Extreme Racing,33.0,7.300000000000001
564,Anubis II,19.0,3.0
565,Apache Longbow Assault,73.0,7.0
566,Apache: Air Assault,66.66666666666667,6.566666666666666
567,Ape Escape,90.0,8.5
568,Ape Escape 2,82.0,7.800000000000001
569,Ape Escape 3,77.0,8.8
570,Ape Escape Academy,51.0,6.1
571,Ape Escape: On the Loose,66.0,7.0
572,Ape Escape: Pumped & Primed,61.0,7.3
573,Ape Out,83.0,6.7
574,Apex,74.0,7.4
575,Apex Construct,75.5,5.4
576,Apex Legends,88.33333333333333,6.733333333333333
577,Apocalipsis,73.0,6.8
578,Apocalyptica,34.0,2.4
579,Apollo Justice: Ace Attorney,77.5,7.9
580,Aporia: Beyond The Valley,71.0,6.9
581,Apotheon,77.0,7.55
582,Apsulov: End of Gods,71.0,7.2
583,Aqua,61.0,8.1
584,Aqua Kitty: Milk Mine Defender DX,70.5,6.7
585,Aqua Moto Racing 3D,52.0,5.8
586,Aqua Moto Racing Utopia,64.0,7.5
587,Aqua Teen Hunger Force Zombie Ninja Pro-Am,37.0,5.8
588,AquaNox,67.0,7.7
589,AquaNox 2: Revelation,59.0,7.5
590,AquaPazza: AquaPlus Dream Match,75.0,8.0
591,AquaSpace,45.0,5.6
592,Aquaman: Battle for Atlantis,26.5,2.85
593,Aquanox Deep Descent,65.0,7.7
594,Aquaria,82.0,8.2
595,Ar nosurge Plus: Ode to an Unborn Star,77.0,8.3
596,Ar nosurge: Ode to an Unborn Star,67.0,7.8
597,Ar tonelico II: Melody of Metafalica,71.0,8.2
598,Ar tonelico Qoga: Knell of Ar Ciel,61.0,7.8
599,Ar tonelico: Melody of Elemia,71.0,8.1
600,Aragami,71.0,7.0
601,Aragami 2,65.0,4.5
602,Aragami: Nightfall,67.0,8.1
603,Aragami: Shadow Edition,79.66666666666667,6.3999999999999995
604,Arboria,75.0,8.5
605,Arc Rise Fantasia,64.0,8.2
606,Arc of Alchemist,46.0,3.5
607,Arc the Lad Collection,78.0,8.5
608,Arc the Lad: End of Darkness,59.0,4.5
609,Arc the Lad: Twilight of the Spirits,72.0,7.5
610,Arcade Classics Anniversary Collection,62.5,3.9
611,Arcade Darts,62.0,5.8
612,Arcade Spirits,75.0,6.0
613,Arcadia Fallen,76.0,7.5
614,Arcana Heart,77.0,8.0
615,Arcana Heart 3,73.0,6.8
